Job Title,Company,Location,Salary,Link
Software Engineer,Global IDs,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/company/Global-IDs/jobs/Software-Engineer-0284816ff5c5c06c?fccid=d3429c4b6d6d04ba&vjs=3
Software Testing Executive,Eastern India Technosoft Pvt. Ltd.,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=54a441f9bd7cd109&fccid=07f5a74e22a276b9&vjs=3
Asp.net Developer,webstep,"Salt Lake City, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=f1db0c35c2fe0509&fccid=1586210eb99120cb&vjs=3
JAVA Developer_Kolkata Location,Shieldwatch Infotech Private Limited,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=5d5e9efd0f70c17d&fccid=616dbdbdbbe16e4e&vjs=3
Java Developer,freshermart,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=f609a6d361f9a427&fccid=dd616958bd9ddc12&vjs=3
Scala Programmer / Developer,RJS Tech Solutions LLP,"Kolkata, West Bengal","Rs.2,50,000 - Rs.3,50,000 a year",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0B6E4MKvkKH1dDG1uqyMjibNHbrnui2nIvi7kiUakIESVk18igNecZMUzT2y8lC5hHDglUzxyUkeJr_gBb4VpKHlkI5nCKg6QFFP0mCV1iNIFSPp7wp6kMM_jdjG5ZNPSjz_Qge04QH8pcrqRrai9geJ2SA1rapi7_1A8CfOJ_IlLOANGaFoK14Rscx77-cl6jpKamlIMzEEpM1_4qA0GPsKY3rqt_DPFsvaPkG0tCkkA-nreIFUgspcu2aGEFqWyuGY_SENAqTBXGu11NaKjSrVmZv-8icmu1XsjNsdQ5E8mXP95q5WZEffkRK0TE15DFwCA4CzdWTU3Lm-OPr3eR0VOSY5F91dd8g-ph_9-WH7qdZTRtrFXkswFZhIc0ndWAIvoVkFHOpvTcd3DP1_bSo3uTs3XCESNfCaSpDx4BSZp4AwfSiuMscxnJI3iHI3nchOpQU9g5vTQ==&p=12&fvj=1&vjs=3
Costing Executive for Leather Goods (ICS Software),Pazzo Solutions,"Kolkata, West Bengal","Rs.15,000 - Rs.20,000 a month",https://www.indeed.co.in/company/Pazzo-Solutions/jobs/Costing-Executive-Leather-Good-e3791c7c8b13ba41?fccid=6c4b193a540cd270&vjs=3
JAVA Developer,VManpower Service,"Kolkata, West Bengal","Rs.1,75,000 - Rs.3,00,000 a year",https://www.indeed.co.in/rc/clk?jk=a4d00b9f85dbc872&fccid=67a1c76004938787&vjs=3
Software Consultant,BizzmanWeb,"Kolkata, West Bengal","Rs.30,000 - Rs.50,000 a month",https://www.indeed.co.in/company/Bizzman-Web/jobs/Software-Consultant-f9cb2b0ca75959b3?fccid=ee0eaeb867db416e&vjs=3
Software Engineer I,Bentley Systems,"Kolkata, West Bengal",Salary not mentioned,https://www.indeed.co.in/rc/clk?jk=2d2d919d419d1c9e&fccid=389b8a90ef238b4f&vjs=3
